symbol,company_name,sector,industry,Symbol
SRTL.NS,SHREE RAM TWISTEX LIMITED,Consumer Cyclical,Textile Manufacturing,SRTL
SSDL.NS,SARASWATI SAREE DEPOT LTD,Consumer Cyclical,Apparel Retail,SSDL
SSWL.NS,Steel Strips Wheels Limited,Consumer Cyclical,Auto Parts,SSWL
STALLION.NS,STALLION IND FLUOROCHEM L,Basic Materials,Specialty Chemicals,STALLION
STANLEY.NS,STANLEY LIFESTYLES LTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",STANLEY
STAR.NS,Strides Pharma Science Limited,Healthcare,Drug Manufacturers - Specialty & Generic,STAR
STARCEMENT.NS,Star Cement Limited,Basic Materials,Building Materials,STARCEMENT
STARHEALTH.NS,Star Health and Allied Insurance Company Limited,Financial Services,Insurance - Life,STARHEALTH
STARPAPER.NS,Star Paper Mills Limited,Basic Materials,Paper & Paper Products,STARPAPER
STARTECK.NS,Starteck Finance Limited,Financial Services,Credit Services,STARTECK
STCINDIA.NS,The State Trading Corporation of India Limited,Industrials,Conglomerates,STCINDIA
STEELCAS.NS,Steelcast Limited,Basic Materials,Steel,STEELCAS
STEELCITY.NS,Steel City Securities Limited,Financial Services,Capital Markets,STEELCITY
STEELXIND.NS,Steel Exchange India Limited,Basic Materials,Steel,STEELXIND
STEL.NS,STEL Holdings Limited,Financial Services,Asset Management,STEL
STERTOOLS.NS,Sterling Tools Limited,Industrials,Tools & Accessories,STERTOOLS
STLNETWORK.NS,STL NETWORKS LIMITED,Communication Services,Telecom Services,STLNETWORK
STLTECH.NS,Sterlite Technologies Limited,Technology,Communication Equipment,STLTECH
STOVEKRAFT.NS,Stove Kraft Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",STOVEKRAFT
STUDDS.NS,STUDDS ACCESSORIES LTD,Consumer Cyclical,Auto Parts,STUDDS
STYL.NS,SESHAASAI TECHNOLOGIES L,Technology,Software - Infrastructure,STYL
STYLAMIND.NS,Stylam Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",STYLAMIND
STYLEBAAZA.NS,Baazar Style Retail Limited,Consumer Cyclical,Apparel Retail,STYLEBAAZA
STYRENIX.NS,Styrenix Performance Materials Limited,Basic Materials,Chemicals,STYRENIX
SUBEXLTD.NS,Subex Limited,Technology,Software - Application,SUBEXLTD
SUBROS.NS,Subros Limited,Consumer Cyclical,Auto Parts,SUBROS
SUDARCOLOR.NS,Sudarshan Colorants India Limited,Basic Materials,Specialty Chemicals,SUDARCOLOR
SUDARSCHEM.NS,Sudarshan Chemical Industries Limited,Basic Materials,Specialty Chemicals,SUDARSCHEM
SUDEEPPHRM.NS,SUDEEP PHARMA LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,SUDEEPPHRM
SUKHJITS.NS,The Sukhjit Starch & Chemicals Limited,Basic Materials,Specialty Chemicals,SUKHJITS
SULA.NS,Sula Vineyards Limited,Consumer Defensive,Beverages - Wineries & Distilleries,SULA
SUMEETINDS.NS,Sumeet Industries Limited,Consumer Cyclical,Textile Manufacturing,SUMEETINDS
SUMICHEM.NS,Sumitomo Chemical India Limited,Basic Materials,Agricultural Inputs,SUMICHEM
SUMIT.NS,Sumit Woods Limited,Real Estate,Real Estate - Development,SUMIT
SUMMITSEC.NS,Summit Securities Limited,Financial Services,Capital Markets,SUMMITSEC
SUNCLAY.NS,Sundaram-Clayton Limited,Industrials,Metal Fabrication,SUNCLAY
SUNDARAM.NS,Sundaram Multi Pap Limited,Basic Materials,Paper & Paper Products,SUNDARAM
SUNDARMFIN.NS,,,,SUNDARMFIN
SUNDRMBRAK.NS,Sundaram Brake Linings Limited,Consumer Cyclical,Auto Parts,SUNDRMBRAK
SUNDRMFAST.NS,Sundram Fasteners Limited,Consumer Cyclical,Auto Parts,SUNDRMFAST
SUNDROP.NS,,,,SUNDROP
SUNFLAG.NS,,,,SUNFLAG
SUNPHARMA.NS,,,,SUNPHARMA
SUNTECK.NS,,,,SUNTECK
SUNTV.NS,,,,SUNTV
SUPERHOUSE.NS,,,,SUPERHOUSE
SUPERSPIN.NS,,,,SUPERSPIN
SUPRAJIT.NS,,,,SUPRAJIT
SUPREME.NS,,,,SUPREME
SUPREMEENG.NS,,,,SUPREMEENG
SUPREMEIND.NS,,,,SUPREMEIND
SUPREMEINF.NS,,,,SUPREMEINF
SUPRIYA.NS,,,,SUPRIYA
SURAJEST.NS,,,,SURAJEST
SURAJLTD.NS,,,,SURAJLTD
SURAKSHA.NS,,,,SURAKSHA
SURANASOL.NS,,,,SURANASOL
SURANAT&P.NS,Surana Telecom and Power Limited,Utilities,Utilities - Independent Power Producers,SURANAT&P
SURYALAXMI.NS,,,,SURYALAXMI
SURYAROSNI.NS,,,,SURYAROSNI
SURYODAY.NS,,,,SURYODAY
SUTLEJTEX.NS,,,,SUTLEJTEX
SUVEN.NS,,,,SUVEN
SUVIDHAA.NS,,,,SUVIDHAA
SUYOG.NS,,,,SUYOG
SUZLON.NS,,,,SUZLON
SVLL.NS,,,,SVLL
SVPGLOB.NS,,,,SVPGLOB
SWANCORP.NS,,,,SWANCORP
SWANDEF.NS,,,,SWANDEF
SWARAJENG.NS,,,,SWARAJENG
SWELECTES.NS,,,,SWELECTES
SWIGGY.NS,,,,SWIGGY
SWSOLAR.NS,,,,SWSOLAR
SYMPHONY.NS,,,,SYMPHONY
SYNCOMF.NS,,,,SYNCOMF
SYNGENE.NS,,,,SYNGENE
SYRMA.NS,,,,SYRMA
SYSTMTXC.NS,,,,SYSTMTXC
TAINWALCHM.NS,,,,TAINWALCHM
TAJGVK.NS,,,,TAJGVK
TAKE.NS,,,,TAKE
TALBROAUTO.NS,,,,TALBROAUTO
TANLA.NS,,,,TANLA
TARACHAND.NS,,,,TARACHAND
TARAPUR.NS,,,,TARAPUR
TARC.NS,,,,TARC
TARIL.NS,,,,TARIL
TARMAT.NS,,,,TARMAT
TARSONS.NS,,,,TARSONS
TASTYBITE.NS,,,,TASTYBITE
TATACAP.NS,,,,TATACAP
TATACHEM.NS,,,,TATACHEM
TATACOMM.NS,,,,TATACOMM
TATACONSUM.NS,,,,TATACONSUM
TATAELXSI.NS,,,,TATAELXSI
TATAINVEST.NS,,,,TATAINVEST
TATAPOWER.NS,,,,TATAPOWER
TATASTEEL.NS,,,,TATASTEEL
TATATECH.NS,,,,TATATECH
TATVA.NS,,,,TATVA
TBOTEK.NS,,,,TBOTEK
TBZ.NS,,,,TBZ
TCC.NS,,,,TCC
TCI.NS,,,,TCI
TCIEXP.NS,,,,TCIEXP
TCIFINANCE.NS,,,,TCIFINANCE
TCPLPACK.NS,,,,TCPLPACK
TCS.NS,,,,TCS
TDPOWERSYS.NS,,,,TDPOWERSYS
TEAMGTY.NS,,,,TEAMGTY
TEAMLEASE.NS,,,,TEAMLEASE
TECHM.NS,,,,TECHM
TECHNOE.NS,,,,TECHNOE
TECILCHEM.NS,,,,TECILCHEM
TEGA.NS,,,,TEGA
TEJASNET.NS,,,,TEJASNET
TEMBO.NS,,,,TEMBO
TENNIND.NS,,,,TENNIND
TERASOFT.NS,,,,TERASOFT
TEXINFRA.NS,,,,TEXINFRA
TEXMOPIPES.NS,,,,TEXMOPIPES
TEXRAIL.NS,,,,TEXRAIL
TFCILTD.NS,,,,TFCILTD
TFL.NS,,,,TFL
TGBHOTELS.NS,,,,TGBHOTELS
THANGAMAYL.NS,,,,THANGAMAYL
THEINVEST.NS,,,,THEINVEST
THEJO.NS,,,,THEJO
THELEELA.NS,,,,THELEELA
THEMISMED.NS,,,,THEMISMED
THERMAX.NS,,,,THERMAX
THOMASCOOK.NS,,,,THOMASCOOK
THOMASCOTT.NS,,,,THOMASCOTT
THYROCARE.NS,,,,THYROCARE
TI.NS,,,,TI
TICL.NS,,,,TICL
TIGERLOGS.NS,,,,TIGERLOGS
TIIL.NS,,,,TIIL
TIINDIA.NS,,,,TIINDIA
TIJARIA.NS,,,,TIJARIA
TIL.NS,,,,TIL
TIMETECHNO.NS,,,,TIMETECHNO
TIMKEN.NS,,,,TIMKEN
TINNARUBR.NS,,,,TINNARUBR
TIPSFILMS.NS,,,,TIPSFILMS
TIPSMUSIC.NS,,,,TIPSMUSIC
TIRUMALCHM.NS,,,,TIRUMALCHM
TIRUPATIFL.NS,,,,TIRUPATIFL
TITAGARH.NS,,,,TITAGARH
TITAN.NS,,,,TITAN
TMB.NS,,,,TMB
TMCV.NS,,,,TMCV
TMPV.NS,,,,TMPV
TNPETRO.NS,,,,TNPETRO
TNPL.NS,,,,TNPL
TNTELE.NS,,,,TNTELE
TOKYOPLAST.NS,,,,TOKYOPLAST
TOLINS.NS,,,,TOLINS
TORNTPHARM.NS,,,,TORNTPHARM
TORNTPOWER.NS,,,,TORNTPOWER
TOTAL.NS,,,,TOTAL
TOUCHWOOD.NS,,,,TOUCHWOOD
TPHQ.NS,,,,TPHQ
TPLPLASTEH.NS,,,,TPLPLASTEH
TRACXN.NS,,,,TRACXN
TRANSRAILL.NS,,,,TRANSRAILL
TRANSWORLD.NS,,,,TRANSWORLD
TRAVELFOOD.NS,,,,TRAVELFOOD
TREEHOUSE.NS,,,,TREEHOUSE
TREJHARA.NS,,,,TREJHARA
TREL.NS,,,,TREL
TRENT.NS,,,,TRENT
TRF.NS,,,,TRF
TRIDENT.NS,,,,TRIDENT
TRIGYN.NS,,,,TRIGYN
TRITURBINE.NS,,,,TRITURBINE
TRIVENI.NS,,,,TRIVENI
TRU.NS,,,,TRU
TRUALT.NS,,,,TRUALT
TSFINV.NS,,,,TSFINV
TTKHLTCARE.NS,,,,TTKHLTCARE
TTKPRESTIG.NS,,,,TTKPRESTIG
TTL.NS,,,,TTL
TTML.NS,,,,TTML
TVSELECT.NS,,,,TVSELECT
TVSHLTD.NS,,,,TVSHLTD
TVSMOTOR.NS,,,,TVSMOTOR
TVSSCS.NS,,,,TVSSCS
TVSSRICHAK.NS,,,,TVSSRICHAK
TVTODAY.NS,,,,TVTODAY
TVVISION.NS,,,,TVVISION
UBL.NS,,,,UBL
UCAL.NS,,,,UCAL
UCOBANK.NS,,,,UCOBANK
UDS.NS,,,,UDS
UEL.NS,,,,UEL
UFBL.NS,,,,UFBL
UFLEX.NS,,,,UFLEX
UFO.NS,,,,UFO
UGARSUGAR.NS,,,,UGARSUGAR
UGROCAP.NS,,,,UGROCAP
UJJIVANSFB.NS,,,,UJJIVANSFB
ULTRACEMCO.NS,,,,ULTRACEMCO
UMAEXPORTS.NS,,,,UMAEXPORTS
UMESLTD.NS,,,,UMESLTD
UMIYA-MRO.NS,,,,UMIYA-MRO
UNICHEMLAB.NS,,,,UNICHEMLAB
UNIDT.NS,,,,UNIDT
UNIECOM.NS,,,,UNIECOM
UNIENTER.NS,,,,UNIENTER
UNIINFO.NS,,,,UNIINFO
UNIMECH.NS,,,,UNIMECH
UNIONBANK.NS,,,,UNIONBANK
UNIPARTS.NS,,,,UNIPARTS
UNITDSPR.NS,,,,UNITDSPR
UNITECH.NS,,,,UNITECH
UNITEDPOLY.NS,,,,UNITEDPOLY
UNITEDTEA.NS,,,,UNITEDTEA
UNIVAFOODS.NS,,,,UNIVAFOODS
UNIVASTU.NS,,,,UNIVASTU
UNIVCABLES.NS,,,,UNIVCABLES
UNIVPHOTO.NS,,,,UNIVPHOTO
UNOMINDA.NS,Uno Minda Limited,Consumer Cyclical,Auto Parts,UNOMINDA
UPL.NS,UPL Limited,Basic Materials,Agricultural Inputs,UPL
URAVIDEF.NS,Uravi Defence and Technology Limited,Consumer Cyclical,Auto Parts,URAVIDEF
URBANCO.NS,Urban Company Limited,Technology,Software - Application,URBANCO
URJA.NS,Urja Global Limited,Technology,Solar,URJA
USHAMART.NS,Usha Martin Limited,Basic Materials,Steel,USHAMART
USK.NS,Udayshivakumar Infra Limited,Industrials,Engineering & Construction,USK
UTIAMC.NS,UTI Asset Management Company Limited,Financial Services,Asset Management,UTIAMC
UTKARSHBNK.NS,Utkarsh Small Finance Bank Limited,Financial Services,Banks - Regional,UTKARSHBNK
UTLSOLAR.NS,FUJIYAMA POWER SYSTEMS L,Technology,Solar,UTLSOLAR
UTTAMSUGAR.NS,Uttam Sugar Mills Limited,Consumer Defensive,Confectioners,UTTAMSUGAR
UYFINCORP.NS,U. Y. Fincorp Limited,Financial Services,Credit Services,UYFINCORP
V2RETAIL.NS,V2 Retail Limited,Consumer Cyclical,Apparel Retail,V2RETAIL
VADILALIND.NS,Vadilal Industries Limited,Consumer Defensive,Packaged Foods,VADILALIND
VAIBHAVGBL.NS,Vaibhav Global Limited,Consumer Cyclical,Luxury Goods,VAIBHAVGBL
VAISHALI.NS,Vaishali Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,VAISHALI
VAKRANGEE.NS,Vakrangee Limited,Technology,Information Technology Services,VAKRANGEE
VALIANTLAB.NS,Valiant Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,VALIANTLAB
VALIANTORG.NS,Valiant Organics Limited,Basic Materials,Chemicals,VALIANTORG
VARDHACRLC.NS,Vardhman Acrylics Limited,Consumer Cyclical,Textile Manufacturing,VARDHACRLC
VARDMNPOLY.NS,Vardhman Polytex Limited,Consumer Cyclical,Textile Manufacturing,VARDMNPOLY
VARROC.NS,Varroc Engineering Limited,Consumer Cyclical,Auto Parts,VARROC
VASCONEQ.NS,Vascon Engineers Limited,Industrials,Engineering & Construction,VASCONEQ
VASWANI.NS,Vaswani Industries Limited,Basic Materials,Steel,VASWANI
VBL.NS,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,VBL
VCL.NS,Vaxtex Cotfab Limited,Consumer Cyclical,Textile Manufacturing,VCL
VEDL.NS,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining,VEDL
VEEDOL.NS,Veedol Corporation Limited,Basic Materials,Specialty Chemicals,VEEDOL
VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,VENKEYS
VENTIVE.NS,VENTIVE HOSPITALITY LTD,Consumer Cyclical,Lodging,VENTIVE
VENUSPIPES.NS,Venus Pipes and Tubes Limited,Basic Materials,Steel,VENUSPIPES
VENUSREM.NS,Venus Remedies Limited,Healthcare,Drug Manufacturers - Specialty & Generic,VENUSREM
VERANDA.NS,Veranda Learning Solutions Limited,Consumer Defensive,Education & Training Services,VERANDA
VERTOZ.NS,Vertoz Limited,Technology,Software - Infrastructure,VERTOZ
VESUVIUS.NS,Vesuvius India Limited,Industrials,Specialty Industrial Machinery,VESUVIUS
VETO.NS,Veto Switchgears and Cables Limited,Industrials,Electrical Equipment & Parts,VETO
VGL.NS,VARVEE GLOBAL LIMITED,Consumer Cyclical,Textile Manufacturing,VGL
VGUARD.NS,V-Guard Industries Limited,Industrials,Electrical Equipment & Parts,VGUARD
VHL.NS,Vardhman Holdings Limited,Financial Services,Credit Services,VHL
VHLTD.NS,Viceroy Hotels Limited,Consumer Cyclical,Lodging,VHLTD
VIDHIING.NS,Vidhi Specialty Food Ingredients Limited,Basic Materials,Specialty Chemicals,VIDHIING
VIDYAWIRES.NS,VIDYA WIRES LIMITED,Industrials,Electrical Equipment & Parts,VIDYAWIRES
VIJAYA.NS,Vijaya Diagnostic Centre Limited,Healthcare,Diagnostics & Research,VIJAYA
VIJIFIN.NS,Viji Finance Limited,Financial Services,Credit Services,VIJIFIN
VIKASECO.NS,Vikas Ecotech Limited,Basic Materials,Specialty Chemicals,VIKASECO
VIKASLIFE.NS,Vikas Lifecare Limited,Consumer Defensive,Farm Products,VIKASLIFE
VIKRAMSOLR.NS,VIKRAM SOLAR LIMITED,Technology,Solar,VIKRAMSOLR
VIKRAN.NS,VIKRAN ENGINEERING LTD,Industrials,Engineering & Construction,VIKRAN
VIMTALABS.NS,Vimta Labs Limited,Healthcare,Diagnostics & Research,VIMTALABS
VINATIORGA.NS,Vinati Organics Limited,Basic Materials,Specialty Chemicals,VINATIORGA
VINCOFE.NS,Vintage Coffee and Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,VINCOFE
VINDHYATEL.NS,Vindhya Telelinks Limited,Industrials,Engineering & Construction,VINDHYATEL
VINEETLAB.NS,Vineet Laboratories Limited,Basic Materials,Chemicals,VINEETLAB
VINNY.NS,Vinny Overseas Limited,Consumer Cyclical,Textile Manufacturing,VINNY
VINYLINDIA.NS,Vinyl Chemicals (India) Limited,Basic Materials,Specialty Chemicals,VINYLINDIA
VIPCLOTHNG.NS,VIP Clothing Limited,Consumer Cyclical,Apparel Manufacturing,VIPCLOTHNG
VIPIND.NS,V.I.P. Industries Limited,Consumer Cyclical,Footwear & Accessories,VIPIND
VIPULLTD.NS,Vipul Limited,Real Estate,Real Estate - Diversified,VIPULLTD
VIRINCHI.NS,Virinchi Limited,Technology,Software - Application,VIRINCHI
VISAKAIND.NS,Visaka Industries Limited,Industrials,Building Products & Equipment,VISAKAIND
VISASTEEL.NS,Visa Chrome Ltd,Basic Materials,Steel,VISASTEEL
VISHNU.NS,Vishnu Chemicals Limited,Basic Materials,Specialty Chemicals,VISHNU
VISHWARAJ.NS,Vishwaraj Sugar Industries Limited,Consumer Defensive,Confectioners,VISHWARAJ
VITAL.NS,VITAL CHEMTECH LIMITED,Basic Materials,Specialty Chemicals,VITAL
VIVIDHA.NS,Visagar Polytex Limited,Consumer Cyclical,Textile Manufacturing,VIVIDHA
VIVIMEDLAB.NS,Vivimed Labs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,VIVIMEDLAB
VIYASH.NS,Viyash Scientific Limited,Healthcare,Drug Manufacturers - Specialty & Generic,VIYASH
VLEGOV.NS,VL E-Governance & IT Solutions Limited,Technology,Information Technology Services,VLEGOV
VLSFINANCE.NS,VLS Finance Limited,Financial Services,Capital Markets,VLSFINANCE
VMART.NS,V-Mart Retail Limited,Consumer Cyclical,Department Stores,VMART
VMM.NS,VISHAL MEGA MART LIMITED,Consumer Cyclical,Department Stores,VMM
VMSTMT.NS,VMS TMT LIMITED,Basic Materials,Steel,VMSTMT
VOLTAMP.NS,Voltamp Transformers Limited,Industrials,Electrical Equipment & Parts,VOLTAMP
VOLTAS.NS,Voltas Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",VOLTAS
VPRPL.NS,Vishnu Prakash R Punglia Limited,Industrials,Engineering & Construction,VPRPL
VRAJ.NS,VRAJ IRON AND STEEL LTD,Basic Materials,Steel,VRAJ
VRLLOG.NS,VRL Logistics Limited,Industrials,Trucking,VRLLOG
VSSL.NS,Vardhman Special Steels Limited,Basic Materials,Steel,VSSL
VSTIND.NS,VST Industries Limited,Consumer Defensive,Tobacco,VSTIND
VSTL.NS,Vibhor Steel Tubes Limited,Basic Materials,Steel,VSTL
VSTTILLERS.NS,V.S.T. Tillers Tractors Limited,Industrials,Farm & Heavy Construction Machinery,VSTTILLERS
VTL.NS,Vardhman Textiles Limited,Consumer Cyclical,Textile Manufacturing,VTL
WAAREEENER.NS,WAAREE ENERGIES LIMITED,Technology,Solar,WAAREEENER
WAAREEINDO.NS,Indosolar Limited,Technology,Solar,WAAREEINDO
WAAREERTL.NS,Waaree Renewable Technologies Limited,Industrials,Engineering & Construction,WAAREERTL
WABAG.NS,VA Tech Wabag Limited,Industrials,Engineering & Construction,WABAG
WAKEFIT.NS,WAKEFIT INNOVATIONS LTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",WAKEFIT
WALCHANNAG.NS,Walchandnagar Industries Limited,Industrials,Engineering & Construction,WALCHANNAG
WANBURY.NS,Wanbury Limited,Healthcare,Drug Manufacturers - Specialty & Generic,WANBURY
WCIL.NS,WESTERN CARRIERS (IND) L,Industrials,Integrated Freight & Logistics,WCIL
WEALTH.NS,Wealth First Portfolio Managers Limited,Financial Services,Capital Markets,WEALTH
WEBELSOLAR.NS,Websol Energy System Limited,Technology,Solar,WEBELSOLAR
WEIZMANIND.NS,Weizmann Limited,Consumer Cyclical,Textile Manufacturing,WEIZMANIND
WEL.NS,Wonder Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",WEL
WELCORP.NS,Welspun Corp Limited,Basic Materials,Steel,WELCORP
