ALPHA_RANK,Symbol,Sector,Industry,MarketCap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,MULTI_FACTOR_SCORE,FACTOR_RANK,FUTURE_ALPHA,ML_PREDICTED_ALPHA,ML_RANK,RL_SCORE,FINAL_RL_SCORE,WEIGHT,RL_RANK,AvgVolume,TARGET_CAPITAL,SLIPPAGE_COST,BROKERAGE_COST,IMPACT_COST,LIQUIDITY_RATIO,LIQUIDITY_FLAG,TOTAL_COST,NET_CAPITAL,EXECUTION_SCORE
13,IDEAFORGE,Technology,Computer Hardware,36273115136,2.9412,104.418,173.18,83.13,118.61,-77.36,121.38,12.14,1,99.61,98.44,99.53,41.46,98.98,43.44,96.76,93.39,8,117.1973,117.4321,22,10441.8,5279.6161,0.04395294680352295,11,500000,439529.47,659.29,219.76,1.61,0.88,OK,880.67,438648.8,99.8
10,BLISSGVS,Healthcare,Drug Manufacturers - Specialty & Generic,45806624768,3.0759,102.442,177.55,75.22,120.59,-34.62,110.75,10.75,3,99.55,98.73,99.65,53.73,99.71,43.81,89.08,92.86,12,117.3862,117.2004,23,10244.2,5180.7002,0.04312946966959855,12,500000,431294.7,646.94,215.65,1.58,0.86,OK,864.17,430430.53,99.8
18,BLUECHIP,Financial Services,Capital Markets,131071280,2.7961,102.442,177.55,75.22,120.59,-34.62,110.75,4.25,11,99.55,98.73,99.34,53.73,99.71,43.81,7.34,84.61,193,114.0862,115.9082,25,10244.2,5180.0541,0.04312409086957575,13,500000,431240.91,646.86,215.62,1.58,0.86,OK,864.06,430376.85,99.8
11,SASKEN,Technology,Information Technology Services,35079229440,3.0657,101.766,186.4,78.69,117.15,-55.39,125.2,12.14,1,99.49,98.91,99.61,46.81666666666666,99.3,43.32,96.76,93.5,7,119.6181,118.7435,20,10176.6,5147.6718,0.04285450692759145,14,500000,428545.07,642.82,214.27,1.57,0.86,OK,858.66,427686.41,99.8
19,BHAGYANGR,Basic Materials,Copper,10238400512,2.7956,101.192,198.14,57.53,130.3,-39.05,87.48,7.56,6,99.45,99.1,99.3,49.59333333333334,99.41,45.08,60.02,89.97,66,120.9402,119.3183,18,10119.2,5119.2592,0.04261797126201965,15,500000,426179.71,639.27,213.09,1.56,0.85,OK,853.92,425325.8,99.8
15,KSHITIJPOL,Industrials,Business Equipment & Supplies,462802464,2.8532,100.352,165.0,90.38,107.0,-60.11,139.37,8.04,5,99.41,98.05,99.45,45.75666666666666,99.22,43.05,75.78,91.18,39,112.8452,114.5398,26,10035.2,5074.8699,0.04224842955189885,16,500000,422484.3,633.73,211.24,1.54,0.84,OK,846.51,421637.78,99.8
22,UCL,Unknown,Unknown,670269184,2.74,98.788,245.15,56.86,126.74,-55.42,109.98,4.77,10,99.38,99.84,99.18,42.72666666666667,99.06,43.91,19.88,85.84,161,130.1993,128.7046,9,9878.8,5003.7523,0.041656373603134546,17,500000,416563.74,624.85,208.28,1.52,0.83,OK,834.65,415729.09,99.8
12,VIDYAWIRES,Industrials,Electrical Equipment & Parts,23330220032,2.9952,98.728,234.08,64.45,121.58,-43.63,124.09,8.04,5,99.34,99.65,99.57,47.46666666666667,99.34,43.4,75.78,91.49,33,129.6708,128.6707,10,9872.8,5000.7354,0.04163125741256255,18,500000,416312.57,624.47,208.16,1.52,0.83,OK,834.14,415478.43,99.8
24,CONFIPET,Energy,Oil & Gas Refining & Marketing,23193747456,2.7033,97.632,177.28,38.28,137.2,-20.87,49.46,10.99,2,99.3,98.67,99.1,51.53666666666666,99.57,53.48,92.81,93.98,2,116.0832,118.8088,19,9763.2,4941.0044,0.04113399563386295,19,500000,411339.96,617.01,205.67,1.5,0.82,OK,824.18,410515.78,99.8
28,IBULLSLTD,Real Estate,Real Estate - Development,51725082624,2.5049,97.242,187.23,36.63,137.65,-17.88,49.82,5.41,8,99.26,98.95,98.95,52.13333333333333,99.61,53.24,35.33,88.21,98,116.12619999999998,114.158,27,9724.2,4919.179,0.04095229858694115,20,500000,409522.99,614.28,204.76,1.49,0.82,OK,820.54,408702.45,99.8
